dataset_row_number,record_id,document_name,record_type,court_family,judgment_number,actions,substantive_action_count,old_record_sha256,new_record_sha256,hash_refreshed
300,zimlex-2022-719d36a4cfbd4c78fb88,Hunyenye v Kambani (793 of 2022) [2022] ZWHHC 793 (8 November 2022) Copy.docx,law_report_draft,High Court,HH 793-22,,0,9e61c97d976cca8138019ca9166bf8ed7c971934cbf0a75e02174abc9f1a71d7,75c1937bd2d4793cc6eee76b946b78e305be93a5d101632349346eef6b12f04b,True
301,zimlex-2022-f6fb0a8e50c0d6fab78e,SHAMIN~1.DOC,law_report_draft,High Court,HH 794-22,,0,a71c71ef575a59240bdde92ba988d8dacb548022da0f6bf9b13b16b504455124,4d064278164fdce3576b7913ce9bcfdf72ea91366439b82f74514b9e04add6b6,True
302,zimlex-2022-729951e02010ca8fee89,TWENTY~1.DOC,law_report_draft,High Court,HH 795-22,,0,cba85fd848d2ea450dc6ab043935f7e8ba56c5fbf04fedb6ff01f8eac8c9dee8,e495963218513f5f7d190b4ab79e468cf1d568768f6c4f315197ec58e95b366b,True
303,zimlex-2022-8258e1977d70d13ce150,Apostolic Faith Mission in Zimbabwe v Nyahwema (796 of 2022) [2022] ZWHHC 796 (9 November 2022) Copy(1).docx,law_report_draft,High Court,HH 796-22,,0,3be4b40806e87c174b95cca295bd01309f2c643bf06625e452c62d7110b10ed0,566f1c47ba8e5d105178478c8de77fbc7cfb4cff12941c8dad7b6f32b878d67c,True
304,zimlex-2022-5f1ffb57579ba98c9705,Warren Hills Golf Club v Sunshine Developments (Pvt) Ltd and Another (797 of 2022) [2022] ZWHHC 797 (7 November 2022) Copy.docx,law_report_draft,High Court,HH 797/22,,0,fdc629350ac377d9e41ae0f4cfe9103c20fa06ecbf134be6457886bb53a05235,418c4be989283223619334c356f7bb9bab808eafdba3b39374585cda29cfcc8b,True
305,zimlex-2022-7715fa4c3b01814591ac,Nebula Agencies (Pvt) Ltd v French & Smith T_A Customs Services (798 of 2022) [2022] ZWHHC 798 (9 November 2022) Copy(1).docx,law_report_draft,High Court,HH 798-22,,0,e8aa1dbcbb0b3fbc8ba286548af3c1dcc0ee4f5a367728e24a389fd3d65c4441,879709cc1b42e217ed78ce1478d4644ae64817b5efeddb8ffa04193642728436,True
306,zimlex-2022-b43144b4371c7beceb2b,HOMEOF~1.DOC,law_report_draft,High Court,HH 800-22,,0,ece4ae3c824f8d3bfdb80a6ac97313cb1fbe71d438ecdce63075df9fe51ad3b3,1e9a862217962759e48674110fe75af5ff41b75d54943e8f80a5b8bae097fa14,True
307,zimlex-2022-9c288a7a3643130958db,Mugumira v Ruwende and 3 Others (802 of 2022) [2022] ZWHHC 802 (8 November 2022) Copy.docx,law_report_draft,High Court,HH 802-22,,0,b014295009239304290089d50a46563b9fbc83e4ff05a8ded4a93327efb5f030,798a7954c610d8d0b868621ec57da3d09a0a840b3a1652db8f8054e9f01aacda,True
308,zimlex-2022-03af4b5606647a25e71a,Chiwenga v Mubaiwa-Chiwenga and Another (804 of 2022) [2022] ZWHHC 804 (16 November 2022) Copy.docx,law_report_draft,High Court,HH 804-22,,0,b606b2f39d79c35723b9cd717b33f78b63b90e8a76822e676f16d5b3a2016365,208e2b5bc48820bee24ba7d685750c7c8d3784fe6e951143123027c8450a5231,True
309,zimlex-2022-4349bed065fd5d34ca64,VANLED~1.DOC,law_report_draft,High Court,HH 805-22,,0,dd6776280f7037e9b1c184f642f3371c83d04ae37b096f4b934a579c6f4a61a0,36c60ac767fbf2159e255725240504ee38f3a2266c5de59fd7aa548989c98a2a,True
310,zimlex-2022-68f4de3bff1aa0d005da,Chinouya v Arosume Property Development (Pvt) Ltd and Another (806 of 2022) [2022] ZWHHC 806 (10 November 2022) Copy.docx,law_report_draft,High Court,HH 806/22,,0,ff0715ad4cbf2a64f2dbe745baaeeb67b074d5842cb04f7800b5a9e2446423d6,11991f5cb31940d7bf1080d8647aec20e284f28b3cc3a31ce5654e266425b9de,True
311,zimlex-2022-6eafd891fcbf44e0c7cc,THEPIT~1(1).DOC,law_report_draft,High Court,HH 807-22,,0,1e8b92298561fee75d78646359e047d7ea1a926c9a778c8e75a27362658975ee,46db637b77f111be84f40dce18fcddaadb10a4302af31259f211da15caa1951f,True
312,zimlex-2022-7fca43f8b03405e30ba6,S v Dzemwa (808 of 2022) [2022] ZWHHC 808 (11 November 2022) Copy.docx,law_report_draft,High Court,HH 808-22,,0,0940c4a6a6c765c0f018086529d29be412ca12e041c5b1bcfe588ab9f7e1c95d,52cd52cdb6f9815e4db010045314cc94cccff58a25367676edab19d6456ca8f7,True
313,zimlex-2022-c7fe2bf8104a3912d249,Nyangoni v Mugawazi (809 of 2022) [2022] ZWHHC 809 (16 November 2022) Copy(2).docx,law_report_draft,High Court,HH 809-22,,0,7991421eb722c7e1c69619c36d3ae47c980931030550caacf5747fa823ad81f6,24dea86e9ddebe5abe75c48a20757626345a627799fe2c4eea1d7149b34e7a3b,True
314,zimlex-2022-d0c96b3a84584d93fb02,Guchu (nee Kazungaire) v Guchu (811 of 2022) [2022] ZWHHC 811 (30 May 2022) Copy.docx,law_report_draft,High Court,HH 811-22,,0,a7bb8dbce827f6443205c5a5465c0a7b444c39c9b2c5fbbbc22e237da5db6395,fdb430b14a598eaa9ce517ce2f74aebcb2b2e7df5b7f1874b4834ec3e7bc07f9,True
315,zimlex-2022-0d52c27f6bb149ded836,Steenbok and Another v Zviitwa (813 of 2022) [2022] ZWHHC 813 (16 November 2022) Copy(1).docx,law_report_draft,High Court,HH 813-22,,0,7184ad5ad2d4dd35b8df0bfab208c94d232bd8e3f0fdedc2b98bd6ea52e90715,a3c6b9f940b52cc106153512a4d9e388bfb5ca73ea162530878c47362ba292c6,True
316,zimlex-2022-fe5bf321595241b30758,Baraide Investments (Private) Limited v Mashamhanda (815 of 2022) [2022] ZWHHC 815 (14 July 2022) Copy.docx,law_report_draft,High Court,HH 815-22,,0,115197770c0e01ea7089c6139a1b4a92ff177066409d49a1ef1b412aff0eda29,700a8fe3b177cdb343a060e9a49841166e67cbd743a46c7a7872e917745361f4,True
317,zimlex-2022-c0f31689747d02043442,S v Shopa and 13 Others (816 of 2022) [2022] ZWHHC 816 (15 November 2022) Copy.docx,law_report_draft,High Court,HH 816-22,,0,b7a1a2e191af6fbe234873f5b5c8f33773e00857aaca888972ba738024462c5a,ea22a53ef153137dee910796fd4db827e9c8769fe91ac8f3f58c9fb2165f09e9,True
